T(MeV),a(MeV cm^2/g),b(cm^2/g)
1.0,2.6430000000000002,4.771e-05
1.2,35.17,3.983333333333334e-05
1.4,31.12,3.4207142857142856e-05
1.7,26.67,2.824705882352941e-05
2.0,23.42,2.408e-05
2.5,19.6,1.9352e-05
3.0,16.94,1.62e-05
3.5,14.98,1.395142857142857e-05
4.0,13.47,1.22625e-05
4.5,12.27,1.0948888888888889e-05
5.0,11.29,9.9e-06
5.5,10.47,9.04e-06
6.0,9.783999999999999,8.323333333333334e-06
7.0,8.681000000000001,7.198571428571428e-06
8.0,7.834,6.355e-06
9.0,7.164,5.698888888888888e-06
10.0,6.619,5.173e-06
12.0,5.787000000000001,4.385833333333334e-06
14.0,5.18,3.822857142857143e-06
17.0,4.524,3.2276470588235295e-06
20.0,4.0569999999999995,2.8105e-06
25.0,3.52,2.3376000000000003e-06
30.0,3.157,2.0226666666666667e-06
35.0,2.897,1.7977142857142857e-06
40.0,2.701,1.6287499999999999e-06
45.0,2.55,1.4975555555555557e-06
50.0,2.43,1.4034e-06
55.0,2.331,1.3318181818181818e-06
60.0,2.249,1.2723333333333335e-06
70.0,2.121,1.1802857142857144e-06
80.0,2.028,1.11225e-06
90.0,1.9580000000000002,1.0603333333333332e-06
100.0,1.9040000000000001,1.02e-06
120.0,1.828,9.608333333333334e-07
140.0,1.7790000000000001,9.200000000000001e-07
170.0,1.734,8.805882352941176e-07
200.0,1.71,8.554999999999999e-07
250.0,1.6909999999999998,8.312000000000002e-07
296.9,1.6880000000000002,8.272145503536545e-07
300.0,1.6880000000000002,8.186666666666667e-07
350.0,1.6909999999999998,8.12857142857143e-07
400.0,1.6980000000000002,8.105e-07
450.0,1.7069999999999999,8.104444444444444e-07
500.0,1.716,8.118e-07
550.0,1.726,8.143636363636363e-07
600.0,1.736,8.173333333333333e-07
700.0,1.756,8.244285714285714e-07
800.0,1.774,8.32375e-07
900.0,1.7919999999999998,8.404444444444444e-07
1000.0,1.808,8.658999999999998e-07
1200.0,1.8359999999999999,9.358333333333334e-07
1400.0,1.861,9.957142857142858e-07
1700.0,1.893,1.0723529411764706e-06
2000.0,1.92,1.139e-06
2500.0,1.9569999999999999,1.2368e-06
3000.0,1.986,1.3176666666666667e-06
3500.0,2.011,1.386857142857143e-06
4000.0,2.033,1.44725e-06
4500.0,2.051,1.500888888888889e-06
5000.0,2.0669999999999997,1.5490000000000001e-06
5500.0,2.082,1.5918181818181817e-06
6000.0,2.095,1.631e-06
7000.0,2.1180000000000003,1.7014285714285713e-06
8000.0,2.138,1.76125e-06
9000.0,2.155,1.8155555555555556e-06
10000.0,2.17,1.864e-06
12000.0,2.195,1.9525e-06
14000.0,2.215,2.027142857142857e-06
17000.0,2.241,2.121764705882353e-06
20000.0,2.262,2.2015e-06
25000.0,2.289,2.318e-06
30000.0,2.311,2.413666666666667e-06
35000.0,2.329,2.4945714285714287e-06
40000.0,2.344,2.565e-06
45000.0,2.358,2.6266666666666668e-06
50000.0,2.369,2.682e-06
55000.0,2.38,2.730909090909091e-06
60000.0,2.3890000000000002,2.773333333333333e-06
70000.0,2.406,2.8514285714285715e-06
80000.0,2.42,2.9187500000000002e-06
90000.0,2.4330000000000003,2.977777777777778e-06
100000.0,2.444,3.031e-06
120000.0,2.463,3.1175e-06
140000.0,2.479,3.1907142857142858e-06
170000.0,2.499,3.282352941176471e-06
200000.0,2.515,3.3595e-06
250000.0,2.5380000000000003,3.4451999999999996e-06
300000.0,2.557,3.5166666666666663e-06
350000.0,2.573,3.574285714285714e-06
400000.0,2.5860000000000003,3.625e-06
450000.0,2.5980000000000003,3.671111111111111e-06
500000.0,2.609,3.7119999999999998e-06
550000.0,2.6189999999999998,3.7418181818181823e-06
600000.0,2.628,3.77e-06
692700.0,2.6430000000000002,3.8155045474231275e-06
700000.0,2.6439999999999997,3.818571428571429e-06
800000.0,2.658,3.8625e-06
900000.0,2.67,3.9e-06
1000000.0,2.681,3.934e-06
1200000.0,2.7,3.9791666666666665e-06
1400000.0,2.717,4.017142857142857e-06
1700000.0,2.737,4.064705882352941e-06
2000000.0,2.755,4.1050000000000005e-06
2500000.0,2.779,4.144e-06
3000000.0,2.798,4.18e-06
3500000.0,2.815,4.205714285714286e-06
4000000.0,2.83,4.2325e-06
4500000.0,2.843,4.253333333333334e-06
5000000.0,2.855,4.272e-06
5500000.0,2.865,4.2854545454545455e-06
6000000.0,2.875,4.2966666666666665e-06
7000000.0,2.892,4.317142857142857e-06
8000000.0,2.908,4.335e-06
9000000.0,2.9210000000000003,4.351111111111111e-06
10000000.0,2.9330000000000003,4.365e-06
12000000.0,2.9539999999999997,4.384166666666667e-06
14000000.0,2.972,4.400714285714286e-06
17000000.0,2.995,4.420588235294118e-06
20000000.0,3.014,4.4380000000000005e-06
25000000.0,3.04,4.456e-06
30000000.0,3.062,4.4699999999999996e-06
35000000.0,3.0810000000000004,4.482857142857143e-06
40000000.0,3.097,4.495e-06
45000000.0,3.112,4.504444444444444e-06
50000000.0,3.125,4.5139999999999995e-06
55000000.0,3.137,4.52e-06
60000000.0,3.147,4.526666666666667e-06
70000000.0,3.167,4.537142857142857e-06
80000000.0,3.1839999999999997,4.5475e-06
90000000.0,3.198,4.555555555555555e-06
100000000.0,3.2119999999999997,4.563e-06
120000000.0,3.235,4.563333333333333e-06
140000000.0,3.255,4.562857142857143e-06
170000000.0,3.281,4.562941176470589e-06
200000000.0,3.302,4.563e-06
250000000.0,3.332,4.564e-06
300000000.0,3.3560000000000003,4.563333333333333e-06
350000000.0,3.377,4.562857142857143e-06
400000000.0,3.395,4.5625e-06
450000000.0,3.411,4.562222222222222e-06
500000000.0,3.426,4.564e-06
550000000.0,3.4389999999999996,4.563636363636364e-06
600000000.0,3.451,4.563333333333333e-06
700000000.0,3.4730000000000003,4.562857142857143e-06
800000000.0,3.491,4.5625e-06
900000000.0,3.508,4.563333333333333e-06
1000000000.0,3.523,4.563e-06
